gen030,   1.4182,   1.5859,   2.5110,   2.6274,   3.6520,   9.7565,   1.5277,   8.3995,   5.8338,   1.0624, 
gen031,   2.5850,   1.2087,   7.8055,   3.0108,   4.4977,   7.1773,   8.9139,   0.4140,   6.5016,   0.2393, 
gen032,   5.6581,   9.7753,   2.9847,   7.6849,   6.7702,   4.4799,   2.2301,   4.6955,   9.0577,   2.1628, 
gen033,   1.4052,   8.2929,   9.8469,   8.8930,   8.6987,   8.9094,   0.5103,   8.6382,   4.8317,   9.3742, 
gen034,   7.7596,   9.8654,   0.9413,   1.6208,   6.4168,   6.0469,   6.1233,   2.5556,   1.9219,   8.2544, 
gen035,   9.6703,   8.4958,   3.7774,   1.2337,   2.8390,   4.6724,   2.5499,   1.9030,   7.6128,   8.9968, 
gen036,   9.5824,   4.7156,   9.3305,   2.1722,   7.1182,   2.4927,   2.5684,   7.0496,   9.4406,   9.8368, 
gen037,   5.0505,   4.0334,   7.4039,   5.7086,   1.5296,   9.8499,   2.3643,   1.7255,   9.1065,   7.1258, 
gen038,   0.4175,   4.0446,   0.0717,   8.1064,   6.7023,   6.6650,   1.2024,   7.6078,   6.4710,   5.5091, 
gen039,   8.1458,   3.4248,   8.0602,   6.2393,   1.2215,   7.9867,   6.9801,   6.1245,   7.1922,   1.6566, 
gen040,   5.1457,   6.1196,   1.1122,   9.5934,   0.8428,   0.5660,   4.7219,   7.7419,   5.2626,   0.3153, 
gen041,   4.2463,   7.9965,   7.2285,   0.8897,   2.8573,   0.4473,   1.4422,   3.6093,   4.4340,   2.2513, 
gen042,   1.1020,   4.1884,   5.4310,   3.1001,   3.2743,   3.9115,   3.3842,   5.8578,   0.9720,   6.9540, 
gen043,   2.5279,   4.0658,   8.2407,   6.6733,   7.7956,   8.8717,   7.2797,   0.9916,   3.6549,   6.4941, 
gen044,   1.8004,   5.9562,   9.0925,   8.8819,   7.7439,   6.3225,   2.4545,   4.5708,   8.7685,   1.5478, 
gen045,   4.9365,   0.1180,   8.1175,   0.9756,   4.0483,   9.9171,   9.9644,   5.0706,   1.5273,   6.9956, 
gen046,   8.8690,   8.9358,   3.3701,   9.9906,   7.8798,   1.0090,   0.0016,   6.3736,   0.2685,   2.1606, 
gen047,   6.4890,   3.6098,   8.0249,   0.4294,   8.5449,   8.4489,   5.2326,   6.2797,   3.9867,   8.7385, 
gen048,   0.0927,   7.1054,   7.6762,   6.1456,   8.0257,   8.2213,   9.0047,   0.0588,   3.1688,   0.6381, 
gen049,   2.2357,   9.6620,   1.7993,   3.0199,   0.6976,   1.4959,   7.8539,   2.6768,   0.8125,   5.9617, 
